
X:\Advanced Algorithms\Project\Triest-master\Submission>python birthday.py 
2017-12-16 19:15:59.887000 : t = 2000, Kappa_t = 0.03, Traingle Count at t : 4408.08080808
2017-12-16 19:16:00.256000 : t = 4000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:00.625000 : t = 6000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:00.952000 : t = 8000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:01.296000 : t = 10000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:01.619000 : t = 12000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:01.943000 : t = 14000, Kappa_t = 0.03, Traingle Count at t : 71272.7272727
2017-12-16 19:16:02.266000 : t = 16000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:02.598000 : t = 18000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:02.916000 : t = 20000, Kappa_t = 0.03, Traingle Count at t : 119595.959596
2017-12-16 19:16:03.251000 : t = 22000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:03.560000 : t = 24000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:03.865000 : t = 26000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:04.183000 : t = 28000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:04.479000 : t = 30000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:04.821000 : t = 32000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:05.119000 : t = 34000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:05.413000 : t = 36000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:05.718000 : t = 38000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:06.023000 : t = 40000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:06.343000 : t = 42000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:06.659000 : t = 44000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:06.967000 : t = 46000, Kappa_t = 0.0, Traingle Count at t : 0.0
2017-12-16 19:16:07.271000 : t = 48000, Kappa_t = 0.03, Traingle Count at t : 567854.545455
2017-12-16 19:16:07.585000 : t = 50000, Kappa_t = 0.03, Traingle Count at t : 616161.616162
2017-12-16 19:16:07.886000 : t = 52000, Kappa_t = 0.03, Traingle Count at t : 666440.40404
2017-12-16 19:16:08.194000 : t = 54000, Kappa_t = 0.03, Traingle Count at t : 706909.090909
2017-12-16 19:16:08.486000 : t = 56000, Kappa_t = 0.03, Traingle Count at t : 760242.424242
2017-12-16 19:16:08.832000 : t = 58000, Kappa_t = 0.03, Traingle Count at t : 815515.151515
2017-12-16 19:16:09.221000 : t = 60000, Kappa_t = 0.03, Traingle Count at t : 865454.545455
2017-12-16 19:16:09.518000 : t = 62000, Kappa_t = 0.03, Traingle Count at t : 916347.474747
2017-12-16 19:16:09.825000 : t = 64000, Kappa_t = 0.03, Traingle Count at t : 968145.454545
2017-12-16 19:16:10.139000 : t = 66000, Kappa_t = 0.03, Traingle Count at t : 1020800.0
2017-12-16 19:16:10.472000 : t = 68000, Kappa_t = 0.03, Traingle Count at t : 1092945.45455
2017-12-16 19:16:10.813000 : t = 70000, Kappa_t = 0.03, Traingle Count at t : 1148282.82828
2017-12-16 19:16:11.125000 : t = 72000, Kappa_t = 0.03, Traingle Count at t : 1193890.90909
2017-12-16 19:16:11.448000 : t = 74000, Kappa_t = 0.03, Traingle Count at t : 1216888.88889
2017-12-16 19:16:11.753000 : t = 76000, Kappa_t = 0.03, Traingle Count at t : 1283555.55556
2017-12-16 19:16:12.065000 : t = 78000, Kappa_t = 0.03, Traingle Count at t : 1352000.0
2017-12-16 19:16:12.392000 : t = 80000, Kappa_t = 0.03, Traingle Count at t : 1435151.51515
2017-12-16 19:16:12.698000 : t = 82000, Kappa_t = 0.03, Traingle Count at t : 1494222.22222
2017-12-16 19:16:13.004000 : t = 84000, Kappa_t = 0.03, Traingle Count at t : 1568000.0
2017-12-16 19:16:13.311000 : t = 86000, Kappa_t = 0.03, Traingle Count at t : 1643555.55556
2017-12-16 19:16:13.612000 : t = 88000, Kappa_t = 0.03, Traingle Count at t : 1720888.88889
2017-12-16 19:16:13.648000 : t = 88233, Kappa_t = 0.03, Traingle Count at t : 1730013.842

X:\Advanced Algorithms\Project\Triest-master\Submission>pause
Press any key to continue . . . 
